param dimW := 25;
param dimH := 25;

param W :=
1 0.0
2 1.0
3 2.0
4 3.0
5 4.0
6 5.0
7 6.0
8 7.0
9 8.0
10 9.0
11 10.0
12 11.0
13 12.0
14 13.0
15 14.0
16 15.0
17 16.0
18 17.0
19 18.0
20 19.0
21 20.0
22 21.0
23 22.0
24 23.0
25 24.0;

param H :=
1 0.0
2 1.0
3 2.0
4 3.0
5 4.0
6 5.0
7 6.0
8 7.0
9 8.0
10 9.0
11 10.0
12 11.0
13 12.0
14 13.0
15 14.0
16 15.0
17 16.0
18 17.0
19 18.0
20 19.0
21 20.0
22 21.0
23 22.0
24 23.0
25 24.0;

param n := 62;

param scale := 800;

set S := "S2C" "S2CPro" "S3";

param I :=
"S2C" 0.305891
"S2CPro" 0.755891
"S3" 0.76198;

param MC := 
"S2C" 28.45
"S2CPro" 34.31
"S3" 40.32;

param RMAX :=
"S2C" 1.2
"S2CPro" 3.2
"S3" 3.2;

param X :=
1 1
2 1
3 1
4 1
5 1
6 2
7 2
8 2
9 2
10 2
11 3
12 3
13 3
14 3
15 3
16 4
17 4
18 4
19 4
20 4
21 4
22 4
23 4
24 5
25 5
26 5
27 5
28 5
29 6
30 6
31 6
32 6
33 6
34 7
35 7
36 7
37 7
38 7
39 7
40 7
41 7
42 8
43 8
44 8
45 8
46 8
47 8
48 8
49 8
50 9
51 10
52 10
53 11
54 11
55 12
56 12
57 13
58 16
59 16
60 18
61 18
62 18;

param Y :=
1 1
2 2
3 4
4 24
5 25
6 1
7 2
8 3
9 4
10 7
11 1
12 2
13 4
14 6
15 25
16 1
17 2
18 3
19 5
20 6
21 8
22 11
23 25
24 2
25 3
26 4
27 5
28 6
29 1
30 2
31 3
32 4
33 5
34 1
35 2
36 4
37 5
38 6
39 8
40 14
41 25
42 1
43 2
44 3
45 4
46 5
47 6
48 10
49 24
50 2
51 1
52 11
53 2
54 24
55 10
56 24
57 25
58 3
59 25
60 2
61 3
62 25;
